| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000437561| 0000000437570| 0000000004230| Thu Jan  6 15:00:42 2022
| 0000000437566| 0000000437564| 0000000003608| Thu Jan  6 15:00:42 2022
| 0000000437577| 0000000437565| 0000000003528| Thu Jan  6 15:00:42 2022
| 0000000437563| 0000000437561| 0000000002023| Thu Jan  6 15:00:42 2022
| 0000000437576| 0000000437568| 0000000000428| Thu Jan  6 15:00:42 2022
| 0000000437576| 0000000437569| 0000000001834| Thu Jan  6 15:00:42 2022
| 0000000437563| 0000000437577| 0000000003131| Thu Jan  6 15:00:42 2022
| 0000000437571| 0000000437563| 0000000002665| Thu Jan  6 15:00:42 2022
| 0000000437578| 0000000437573| 0000000001835| Thu Jan  6 15:00:42 2022
| 0000000437553| -000000000001| 0000000000230| Thu Jan  6 15:00:42 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000437573| 0000000437562| 0000000004227| Thu Jan  6 15:00:42 2022
| 0000000437567| 0000000437561| 0000000004547| Thu Jan  6 15:00:42 2022
| 0000000437578| 0000000437560| 0000000003656| Thu Jan  6 15:00:42 2022
| 0000000437574| 0000000437575| 0000000003948| Thu Jan  6 15:00:42 2022
| 0000000437564| 0000000437576| 0000000004836| Thu Jan  6 15:00:42 2022
| 0000000437560| 0000000437563| 0000000000276| Thu Jan  6 15:00:42 2022
| 0000000437560| 0000000437564| 0000000001671| Thu Jan  6 15:00:42 2022
| 0000000437564| 0000000437562| 0000000001584| Thu Jan  6 15:00:42 2022
| 0000000437565| 0000000437566| 0000000003061| Thu Jan  6 15:00:42 2022
| 0000000437552| -000000000001| 0000000000273| Thu Jan  6 15:00:42 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000437563| 0000000437579| 0000000002788| Thu Jan  6 15:00:42 2022
| 0000000437560| 0000000437573| 0000000001232| Thu Jan  6 15:00:42 2022
| 0000000437563| 0000000437571| 0000000002017| Thu Jan  6 15:00:42 2022
| 0000000437563| 0000000437572| 0000000002975| Thu Jan  6 15:00:42 2022
| 0000000437568| 0000000437561| 0000000001139| Thu Jan  6 15:00:42 2022
| 0000000437566| 0000000437579| 0000000000220| Thu Jan  6 15:00:42 2022
| 0000000437573| 0000000437576| 0000000002614| Thu Jan  6 15:00:42 2022
| 0000000437562| 0000000437570| 0000000000555| Thu Jan  6 15:00:42 2022
| 0000000437574| 0000000437572| 0000000001114| Thu Jan  6 15:00:42 2022
| 0000000437558| -000000000001| 0000000000145| Thu Jan  6 15:00:42 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000437579| 0000000437574| 0000000000989| Thu Jan  6 15:00:42 2022
| 0000000437560| 0000000437573| 0000000004568| Thu Jan  6 15:00:42 2022
| 0000000437562| 0000000437575| 0000000001849| Thu Jan  6 15:00:42 2022
| 0000000437575| 0000000437579| 0000000000409| Thu Jan  6 15:00:42 2022
| 0000000437561| 0000000437574| 0000000002759| Thu Jan  6 15:00:42 2022
| 0000000437564| 0000000437578| 0000000002319| Thu Jan  6 15:00:42 2022
| 0000000437571| 0000000437563| 0000000003661| Thu Jan  6 15:00:42 2022
| 0000000437570| 0000000437575| 0000000001394| Thu Jan  6 15:00:42 2022
| 0000000437572| 0000000437562| 0000000001696| Thu Jan  6 15:00:42 2022
| 0000000437556| -000000000001| 0000000000194| Thu Jan  6 15:00:42 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000437578| 0000000437576| 0000000000659| Thu Jan  6 15:00:42 2022
| 0000000437578| 0000000437564| 0000000000196| Thu Jan  6 15:00:42 2022
| 0000000437575| 0000000437567| 0000000002099| Thu Jan  6 15:00:42 2022
| 0000000437573| 0000000437569| 0000000001262| Thu Jan  6 15:00:42 2022
| 0000000437566| 0000000437565| 0000000001610| Thu Jan  6 15:00:42 2022
| 0000000437575| 0000000437560| 0000000004750| Thu Jan  6 15:00:42 2022
| 0000000437568| 0000000437579| 0000000002754| Thu Jan  6 15:00:42 2022
| 0000000437560| 0000000437574| 0000000003135| Thu Jan  6 15:00:42 2022
| 0000000437579| 0000000437570| 0000000001294| Thu Jan  6 15:00:42 2022
| 0000000437550| -000000000001| 0000000000174| Thu Jan  6 15:00:42 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000437571| 0000000437565| 0000000002039| Thu Jan  6 15:00:42 2022
| 0000000437565| 0000000437578| 0000000003650| Thu Jan  6 15:00:42 2022
| 0000000437563| 0000000437568| 0000000001559| Thu Jan  6 15:00:42 2022
| 0000000437565| 0000000437560| 0000000000406| Thu Jan  6 15:00:42 2022
| 0000000437562| 0000000437577| 0000000001455| Thu Jan  6 15:00:42 2022
| 0000000437561| 0000000437564| 0000000002905| Thu Jan  6 15:00:42 2022
| 0000000437568| 0000000437566| 0000000000409| Thu Jan  6 15:00:42 2022
| 0000000437568| 0000000437577| 0000000003343| Thu Jan  6 15:00:42 2022
| 0000000437578| 0000000437567| 0000000000200| Thu Jan  6 15:00:42 2022
| 0000000437554| -000000000001| 0000000000157| Thu Jan  6 15:00:42 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000437566| 0000000437568| 0000000004763| Thu Jan  6 15:00:42 2022
| 0000000437577| 0000000437572| 0000000003736| Thu Jan  6 15:00:42 2022
| 0000000437566| 0000000437575| 0000000000224| Thu Jan  6 15:00:42 2022
| 0000000437563| 0000000437565| 0000000001748| Thu Jan  6 15:00:42 2022
| 0000000437575| 0000000437561| 0000000004490| Thu Jan  6 15:00:42 2022
| 0000000437576| 0000000437573| 0000000002915| Thu Jan  6 15:00:42 2022
| 0000000437571| 0000000437568| 0000000001638| Thu Jan  6 15:00:42 2022
| 0000000437571| 0000000437572| 0000000001649| Thu Jan  6 15:00:42 2022
| 0000000437570| 0000000437572| 0000000001039| Thu Jan  6 15:00:42 2022
| 0000000437557| -000000000001| 0000000000220| Thu Jan  6 15:00:42 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000437569| 0000000437563| 0000000002769| Thu Jan  6 15:00:42 2022
