| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000004924| 0000000005180| 0000000000123| Tue Jan  4 21:31:51 2022
| 0000000004880| 0000000005310| 0000000000337| Tue Jan  4 21:31:51 2022
| 0000000004920| 0000000005317| 0000000000679| Tue Jan  4 21:31:51 2022
| 0000000005126| 0000000005190| 0000000000349| Tue Jan  4 21:31:51 2022
| 0000000005705| 0000000004950| 0000000000749| Tue Jan  4 21:31:51 2022
| 0000000005713| 0000000005322| 0000000000808| Tue Jan  4 21:31:51 2022
| 0000000005468| 0000000005160| 0000000000889| Tue Jan  4 21:31:51 2022
| 0000000004754| -000000000001| 0000000000526| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000004874| 0000000004779| 0000000000147| Tue Jan  4 21:31:51 2022
| 0000000005172| 0000000005124| 0000000000883| Tue Jan  4 21:31:51 2022
| 0000000004952| 0000000004994| 0000000000245| Tue Jan  4 21:31:51 2022
| 0000000005712| 0000000005045| 0000000000515| Tue Jan  4 21:31:51 2022
| 0000000005592| 0000000004997| 0000000000748| Tue Jan  4 21:31:51 2022
| 0000000005003| 0000000005055| 0000000000796| Tue Jan  4 21:31:51 2022
| 0000000005279| 0000000005061| 0000000000869| Tue Jan  4 21:31:51 2022
| 0000000004923| 0000000005103| 0000000000428| Tue Jan  4 21:31:51 2022
| 0000000005703| 0000000005081| 0000000000330| Tue Jan  4 21:31:51 2022
| 0000000004759| -000000000001| 0000000000548| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005639| 0000000004851| 0000000000211| Tue Jan  4 21:31:51 2022
| 0000000005340| 0000000004877| 0000000000027| Tue Jan  4 21:31:51 2022
| 0000000005073| 0000000005400| 0000000000829| Tue Jan  4 21:31:51 2022
| 0000000005704| 0000000005070| 0000000000585| Tue Jan  4 21:31:51 2022
| 0000000004873| 0000000005091| 0000000000187| Tue Jan  4 21:31:51 2022
| 0000000005505| 0000000005181| 0000000000353| Tue Jan  4 21:31:51 2022
| 0000000004948| 0000000005095| 0000000000523| Tue Jan  4 21:31:51 2022
| 0000000005546| 0000000005187| 0000000000261| Tue Jan  4 21:31:51 2022
| 0000000005554| 0000000005132| 0000000000547| Tue Jan  4 21:31:51 2022
| 0000000004753| -000000000001| 0000000000388| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005232| 0000000005002| 0000000000072| Tue Jan  4 21:31:51 2022
| 0000000005058| 0000000004784| 0000000000251| Tue Jan  4 21:31:51 2022
| 0000000005302| 0000000004868| 0000000000561| Tue Jan  4 21:31:51 2022
| 0000000005503| 0000000005166| 0000000000276| Tue Jan  4 21:31:51 2022
| 0000000005564| 0000000005077| 0000000000182| Tue Jan  4 21:31:51 2022
| 0000000004877| 0000000005176| 0000000000797| Tue Jan  4 21:31:51 2022
| 0000000005118| 0000000005607| 0000000000675| Tue Jan  4 21:31:51 2022
| 0000000004907| 0000000005197| 0000000000132| Tue Jan  4 21:31:51 2022
| 0000000005229| 0000000005071| 0000000000877| Tue Jan  4 21:31:51 2022
| 0000000004761| -000000000001| 0000000000421| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000004772| 0000000004996| 0000000000512| Tue Jan  4 21:31:51 2022
| 0000000005761| 0000000005006| 0000000000038| Tue Jan  4 21:31:51 2022
| 0000000005256| 0000000005178| 0000000000706| Tue Jan  4 21:31:51 2022
| 0000000005653| 0000000005116| 0000000000502| Tue Jan  4 21:31:51 2022
| 0000000005637| 0000000005127| 0000000000503| Tue Jan  4 21:31:51 2022
| 0000000005157| 0000000005106| 0000000000326| Tue Jan  4 21:31:51 2022
| 0000000004993| 0000000005136| 0000000000130| Tue Jan  4 21:31:51 2022
| 0000000005532| 0000000005151| 0000000000645| Tue Jan  4 21:31:51 2022
| 0000000004853| 0000000004959| 0000000000724| Tue Jan  4 21:31:51 2022
| 0000000004758| -000000000001| 0000000000449| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000004918| 0000000004989| 0000000000002| Tue Jan  4 21:31:51 2022
| 0000000005072| 0000000005047| 0000000000768| Tue Jan  4 21:31:51 2022
| 0000000005093| 0000000005154| 0000000000873| Tue Jan  4 21:31:51 2022
| 0000000005383| 0000000005467| 0000000000833| Tue Jan  4 21:31:51 2022
| 0000000005118| 0000000005165| 0000000000069| Tue Jan  4 21:31:51 2022
| 0000000005689| 0000000005143| 0000000000631| Tue Jan  4 21:31:51 2022
| 0000000004958| 0000000005133| 0000000000147| Tue Jan  4 21:31:51 2022
| 0000000005490| 0000000005126| 0000000000270| Tue Jan  4 21:31:51 2022
| 0000000005353| 0000000005228| 0000000000072| Tue Jan  4 21:31:51 2022
| 0000000004760| -000000000001| 0000000000404| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005287| 0000000005004| 0000000000685| Tue Jan  4 21:31:51 2022
| 0000000004859| 0000000004991| 0000000000054| Tue Jan  4 21:31:51 2022
| 0000000005150| 0000000005041| 0000000000556| Tue Jan  4 21:31:51 2022
| 0000000004988| 0000000005043| 0000000000494| Tue Jan  4 21:31:51 2022
| 0000000004875| 0000000004774| 0000000000270| Tue Jan  4 21:31:51 2022
| 0000000005693| 0000000005396| 0000000000129| Tue Jan  4 21:31:51 2022
| 0000000005742| 0000000005420| 0000000000543| Tue Jan  4 21:31:51 2022
| 0000000005719| 0000000005079| 0000000000707| Tue Jan  4 21:31:51 2022
| 0000000004825| 0000000005426| 0000000000360| Tue Jan  4 21:31:51 2022
| 0000000004752| -000000000001| 0000000000417| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005039| 0000000005168| 0000000000122| Tue Jan  4 21:31:51 2022
| 0000000005655| 0000000004961| 0000000000864| Tue Jan  4 21:31:51 2022
| 0000000005089| 0000000005049| 0000000000895| Tue Jan  4 21:31:51 2022
| 0000000005654| 0000000005086| 0000000000500| Tue Jan  4 21:31:51 2022
| 0000000005692| 0000000005146| 0000000000383| Tue Jan  4 21:31:51 2022
| 0000000005023| 0000000005156| 0000000000102| Tue Jan  4 21:31:51 2022
| 0000000005459| 0000000005428| 0000000000494| Tue Jan  4 21:31:51 2022
| 0000000004818| 0000000005131| 0000000000432| Tue Jan  4 21:31:51 2022
| 0000000005119| 0000000005068| 0000000000281| Tue Jan  4 21:31:51 2022
| 0000000004755| -000000000001| 0000000000448| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005309| 0000000005060| 0000000000369| Tue Jan  4 21:31:51 2022
| 0000000005716| 0000000005118| 0000000000008| Tue Jan  4 21:31:51 2022
| 0000000005462| 0000000005094| 0000000000345| Tue Jan  4 21:31:51 2022
| 0000000004886| 0000000005248| 0000000000826| Tue Jan  4 21:31:51 2022
| 0000000005751| 0000000005024| 0000000000870| Tue Jan  4 21:31:51 2022
| 0000000005560| 0000000005000| 0000000000118| Tue Jan  4 21:31:51 2022
| 0000000004795| 0000000005149| 0000000000418| Tue Jan  4 21:31:51 2022
| 0000000005101| 0000000005273| 0000000000677| Tue Jan  4 21:31:51 2022
| 0000000005025| 0000000005153| 0000000000306| Tue Jan  4 21:31:51 2022
| 0000000004760| -000000000001| 0000000000434| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005414| 0000000005145| 0000000000819| Tue Jan  4 21:31:51 2022
| 0000000005726| 0000000005075| 0000000000300| Tue Jan  4 21:31:51 2022
| 0000000004867| 0000000005020| 0000000000900| Tue Jan  4 21:31:51 2022
| 0000000005366| 0000000005046| 0000000000219| Tue Jan  4 21:31:51 2022
| 0000000005098| 0000000005302| 0000000000316| Tue Jan  4 21:31:51 2022
| 0000000005474| 0000000005147| 0000000000546| Tue Jan  4 21:31:51 2022
| 0000000005654| 0000000005056| 0000000000546| Tue Jan  4 21:31:51 2022
| 0000000004994| 0000000005307| 0000000000747| Tue Jan  4 21:31:51 2022
| 0000000005610| 0000000005111| 0000000000512| Tue Jan  4 21:31:51 2022
| 0000000004753| -000000000001| 0000000000540| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005314| 0000000005005| 0000000000055| Tue Jan  4 21:31:51 2022
| 0000000005613| 0000000005218| 0000000000559| Tue Jan  4 21:31:51 2022
| 0000000005647| 0000000005101| 0000000000401| Tue Jan  4 21:31:51 2022
| 0000000005720| 0000000005240| 0000000000232| Tue Jan  4 21:31:51 2022
| 0000000005180| 0000000005125| 0000000000577| Tue Jan  4 21:31:51 2022
| 0000000005337| 0000000005251| 0000000000602| Tue Jan  4 21:31:51 2022
| 0000000005051| 0000000004790| 0000000000160| Tue Jan  4 21:31:51 2022
| 0000000005093| 0000000004807| 0000000000423| Tue Jan  4 21:31:51 2022
| 0000000005601| 0000000005003| 0000000000775| Tue Jan  4 21:31:51 2022
| 0000000004761| -000000000001| 0000000000417| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000004767| 0000000005148| 0000000000253| Tue Jan  4 21:31:51 2022
| 0000000005455| 0000000005158| 0000000000879| Tue Jan  4 21:31:51 2022
| 0000000005375| 0000000005680| 0000000000897| Tue Jan  4 21:31:51 2022
| 0000000005509| 0000000005141| 0000000000812| Tue Jan  4 21:31:51 2022
| 0000000005745| 0000000005098| 0000000000285| Tue Jan  4 21:31:51 2022
| 0000000004899| 0000000005082| 0000000000332| Tue Jan  4 21:31:51 2022
| 0000000005684| 0000000005138| 0000000000852| Tue Jan  4 21:31:51 2022
| 0000000005225| 0000000004953| 0000000000039| Tue Jan  4 21:31:51 2022
| 0000000004804| 0000000004809| 0000000000750| Tue Jan  4 21:31:51 2022
| 0000000004752| -000000000001| 0000000000562| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005007| 0000000005644| 0000000000389| Tue Jan  4 21:31:51 2022
| 0000000004854| 0000000005122| 0000000000043| Tue Jan  4 21:31:51 2022
