| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000031648| 0000000031641| 0000000000101| Thu Jan  6 02:33:03 2022
| 0000000031647| 0000000031646| 0000000000069| Thu Jan  6 02:33:03 2022
| 0000000031647| 0000000031641| 0000000000451| Thu Jan  6 02:33:03 2022
| 0000000031643| 0000000031640| 0000000000442| Thu Jan  6 02:33:03 2022
| 0000000031656| 0000000031654| 0000000000207| Thu Jan  6 02:33:03 2022
| 0000000031655| 0000000031653| 0000000000184| Thu Jan  6 02:33:03 2022
| 0000000031650| 0000000031648| 0000000000346| Thu Jan  6 02:33:03 2022
| 0000000031637| -000000000001| 0000000000020| Thu Jan  6 02:33:03 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000031656| 0000000031638| 0000000000385| Thu Jan  6 02:33:03 2022
| 0000000031651| 0000000031639| 0000000000061| Thu Jan  6 02:33:03 2022
| 0000000031653| 0000000031648| 0000000000149| Thu Jan  6 02:33:03 2022
| 0000000031651| 0000000031650| 0000000000183| Thu Jan  6 02:33:03 2022
| 0000000031643| 0000000031649| 0000000000073| Thu Jan  6 02:33:03 2022
| 0000000031650| 0000000031652| 0000000000135| Thu Jan  6 02:33:03 2022
| 0000000031652| 0000000031648| 0000000000071| Thu Jan  6 02:33:03 2022
| 0000000031642| 0000000031639| 0000000000172| Thu Jan  6 02:33:03 2022
| 0000000031649| 0000000031641| 0000000000285| Thu Jan  6 02:33:03 2022
| 0000000031635| -000000000001| 0000000000012| Thu Jan  6 02:33:03 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000031642| 0000000031656| 0000000000127| Thu Jan  6 02:33:03 2022
| 0000000031651| 0000000031644| 0000000000363| Thu Jan  6 02:33:03 2022
| 0000000031650| 0000000031645| 0000000000084| Thu Jan  6 02:33:03 2022
| 0000000031652| 0000000031648| 0000000000224| Thu Jan  6 02:33:03 2022
| 0000000031650| 0000000031652| 0000000000099| Thu Jan  6 02:33:03 2022
| 0000000031653| 0000000031650| 0000000000321| Thu Jan  6 02:33:03 2022
| 0000000031651| 0000000031645| 0000000000142| Thu Jan  6 02:33:03 2022
| 0000000031638| 0000000031641| 0000000000181| Thu Jan  6 02:33:03 2022
| 0000000031646| 0000000031654| 0000000000148| Thu Jan  6 02:33:03 2022
| 0000000031630| -000000000001| 0000000000014| Thu Jan  6 02:33:03 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000031652| 0000000031647| 0000000000455| Thu Jan  6 02:33:03 2022
| 0000000031639| 0000000031642| 0000000000069| Thu Jan  6 02:33:03 2022
| 0000000031641| 0000000031656| 0000000000214| Thu Jan  6 02:33:03 2022
| 0000000031656| 0000000031640| 0000000000184| Thu Jan  6 02:33:03 2022
| 0000000031645| 0000000031649| 0000000000018| Thu Jan  6 02:33:03 2022
| 0000000031648| 0000000031656| 0000000000425| Thu Jan  6 02:33:03 2022
| 0000000031651| 0000000031650| 0000000000248| Thu Jan  6 02:33:03 2022
| 0000000031649| 0000000031643| 0000000000387| Thu Jan  6 02:33:03 2022
| 0000000031655| 0000000031639| 0000000000085| Thu Jan  6 02:33:03 2022
| 0000000031629| -000000000001| 0000000000019| Thu Jan  6 02:33:03 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000031653| 0000000031638| 0000000000008| Thu Jan  6 02:33:03 2022
| 0000000031649| 0000000031645| 0000000000037| Thu Jan  6 02:33:03 2022
| 0000000031639| 0000000031651| 0000000000449| Thu Jan  6 02:33:03 2022
| 0000000031646| 0000000031652| 0000000000217| Thu Jan  6 02:33:03 2022
