| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005474| 0000000005458| 0000000000405| Sun Jan  9 11:04:11 2022
| 0000000005482| 0000000005490| 0000000000444| Sun Jan  9 11:04:11 2022
| 0000000005431| 0000000005461| 0000000000386| Sun Jan  9 11:04:11 2022
| 0000000005475| 0000000005500| 0000000000351| Sun Jan  9 11:04:11 2022
| 0000000005478| 0000000005496| 0000000000372| Sun Jan  9 11:04:11 2022
| 0000000005422| 0000000005501| 0000000000327| Sun Jan  9 11:04:11 2022
| 0000000005460| 0000000005414| 0000000000265| Sun Jan  9 11:04:11 2022
| 0000000005398| -000000000001| 0000000000026| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005417| 0000000005469| 0000000000148| Sun Jan  9 11:04:11 2022
| 0000000005452| 0000000005456| 0000000000130| Sun Jan  9 11:04:11 2022
| 0000000005427| 0000000005489| 0000000000484| Sun Jan  9 11:04:11 2022
| 0000000005499| 0000000005502| 0000000000369| Sun Jan  9 11:04:11 2022
| 0000000005468| 0000000005430| 0000000000222| Sun Jan  9 11:04:11 2022
| 0000000005445| 0000000005451| 0000000000594| Sun Jan  9 11:04:11 2022
| 0000000005435| 0000000005446| 0000000000335| Sun Jan  9 11:04:11 2022
| 0000000005421| 0000000005462| 0000000000255| Sun Jan  9 11:04:11 2022
| 0000000005419| 0000000005470| 0000000000274| Sun Jan  9 11:04:11 2022
| 0000000005397| -000000000001| 0000000000023| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005441| 0000000005411| 0000000000063| Sun Jan  9 11:04:11 2022
| 0000000005459| 0000000005437| 0000000000286| Sun Jan  9 11:04:11 2022
| 0000000005483| 0000000005405| 0000000000379| Sun Jan  9 11:04:11 2022
| 0000000005462| 0000000005417| 0000000000301| Sun Jan  9 11:04:11 2022
| 0000000005457| 0000000005465| 0000000000374| Sun Jan  9 11:04:11 2022
| 0000000005462| 0000000005475| 0000000000173| Sun Jan  9 11:04:11 2022
| 0000000005472| 0000000005439| 0000000000162| Sun Jan  9 11:04:11 2022
| 0000000005475| 0000000005438| 0000000000281| Sun Jan  9 11:04:11 2022
| 0000000005481| 0000000005454| 0000000000256| Sun Jan  9 11:04:11 2022
| 0000000005401| -000000000001| 0000000000018| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005433| 0000000005462| 0000000000260| Sun Jan  9 11:04:11 2022
| 0000000005451| 0000000005498| 0000000000300| Sun Jan  9 11:04:11 2022
| 0000000005431| 0000000005429| 0000000000320| Sun Jan  9 11:04:11 2022
| 0000000005479| 0000000005443| 0000000000285| Sun Jan  9 11:04:11 2022
| 0000000005486| 0000000005420| 0000000000166| Sun Jan  9 11:04:11 2022
| 0000000005494| 0000000005453| 0000000000190| Sun Jan  9 11:04:11 2022
| 0000000005477| 0000000005464| 0000000000609| Sun Jan  9 11:04:11 2022
| 0000000005500| 0000000005460| 0000000000251| Sun Jan  9 11:04:11 2022
| 0000000005423| 0000000005417| 0000000000297| Sun Jan  9 11:04:11 2022
| 0000000005400| -000000000001| 0000000000023| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005470| 0000000005415| 0000000000466| Sun Jan  9 11:04:11 2022
| 0000000005405| 0000000005449| 0000000000371| Sun Jan  9 11:04:11 2022
| 0000000005403| 0000000005482| 0000000000298| Sun Jan  9 11:04:11 2022
| 0000000005420| 0000000005435| 0000000000385| Sun Jan  9 11:04:11 2022
| 0000000005419| 0000000005441| 0000000000211| Sun Jan  9 11:04:11 2022
| 0000000005432| 0000000005495| 0000000000094| Sun Jan  9 11:04:11 2022
| 0000000005417| 0000000005436| 0000000000420| Sun Jan  9 11:04:11 2022
| 0000000005462| 0000000005469| 0000000000338| Sun Jan  9 11:04:11 2022
| 0000000005460| 0000000005412| 0000000000318| Sun Jan  9 11:04:11 2022
| 0000000005396| -000000000001| 0000000000026| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005479| 0000000005450| 0000000000308| Sun Jan  9 11:04:11 2022
| 0000000005418| 0000000005437| 0000000000040| Sun Jan  9 11:04:11 2022
| 0000000005423| 0000000005473| 0000000000203| Sun Jan  9 11:04:11 2022
| 0000000005497| 0000000005459| 0000000000236| Sun Jan  9 11:04:11 2022
| 0000000005439| 0000000005481| 0000000000153| Sun Jan  9 11:04:11 2022
| 0000000005412| 0000000005414| 0000000000654| Sun Jan  9 11:04:11 2022
| 0000000005495| 0000000005403| 0000000000821| Sun Jan  9 11:04:11 2022
| 0000000005419| 0000000005496| 0000000000135| Sun Jan  9 11:04:11 2022
| 0000000005423| 0000000005449| 0000000000214| Sun Jan  9 11:04:11 2022
| 0000000005402| -000000000001| 0000000000026| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005500| 0000000005443| 0000000000386| Sun Jan  9 11:04:11 2022
