| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000019413| 0000000019020| 0000000000600| Wed Jan  5 14:06:53 2022
| 0000000019367| 0000000019224| 0000000000640| Wed Jan  5 14:06:53 2022
| 0000000019390| 0000000019023| 0000000000218| Wed Jan  5 14:06:53 2022
| 0000000019271| 0000000019060| 0000000000513| Wed Jan  5 14:06:53 2022
| 0000000019237| 0000000019080| 0000000000491| Wed Jan  5 14:06:53 2022
| 0000000019478| 0000000019237| 0000000000400| Wed Jan  5 14:06:53 2022
| 0000000019390| 0000000019404| 0000000000369| Wed Jan  5 14:06:53 2022
| 0000000018973| -000000000001| 0000000000450| Wed Jan  5 14:06:53 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000019272| 0000000019255| 0000000000232| Wed Jan  5 14:06:53 2022
| 0000000019135| 0000000019004| 0000000000639| Wed Jan  5 14:06:53 2022
| 0000000019179| 0000000019106| 0000000000404| Wed Jan  5 14:06:53 2022
| 0000000019041| 0000000019109| 0000000000494| Wed Jan  5 14:06:53 2022
| 0000000019429| 0000000019399| 0000000000258| Wed Jan  5 14:06:53 2022
| 0000000019005| 0000000019398| 0000000000140| Wed Jan  5 14:06:53 2022
| 0000000019417| 0000000019264| 0000000000599| Wed Jan  5 14:06:53 2022
| 0000000019011| 0000000019099| 0000000000829| Wed Jan  5 14:06:53 2022
| 0000000019377| 0000000019207| 0000000000645| Wed Jan  5 14:06:53 2022
| 0000000018977| -000000000001| 0000000000465| Wed Jan  5 14:06:53 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000019118| 0000000018991| 0000000000787| Wed Jan  5 14:06:53 2022
| 0000000019281| 0000000019397| 0000000000013| Wed Jan  5 14:06:53 2022
| 0000000019123| 0000000019248| 0000000000150| Wed Jan  5 14:06:53 2022
| 0000000019453| 0000000019030| 0000000000300| Wed Jan  5 14:06:53 2022
| 0000000019169| 0000000019409| 0000000000258| Wed Jan  5 14:06:53 2022
| 0000000019437| 0000000019408| 0000000000251| Wed Jan  5 14:06:53 2022
| 0000000019378| 0000000018989| 0000000000787| Wed Jan  5 14:06:53 2022
| 0000000019466| 0000000019102| 0000000000649| Wed Jan  5 14:06:53 2022
| 0000000019302| 0000000019411| 0000000000160| Wed Jan  5 14:06:53 2022
| 0000000018976| -000000000001| 0000000000368| Wed Jan  5 14:06:53 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000019288| 0000000019402| 0000000000473| Wed Jan  5 14:06:53 2022
| 0000000019099| 0000000019129| 0000000000169| Wed Jan  5 14:06:53 2022
| 0000000019269| 0000000019139| 0000000000534| Wed Jan  5 14:06:53 2022
| 0000000019408| 0000000019412| 0000000000064| Wed Jan  5 14:06:53 2022
| 0000000019083| 0000000019032| 0000000000606| Wed Jan  5 14:06:53 2022
| 0000000019027| 0000000019068| 0000000000739| Wed Jan  5 14:06:53 2022
| 0000000019028| 0000000019084| 0000000000375| Wed Jan  5 14:06:53 2022
| 0000000019288| 0000000019190| 0000000000645| Wed Jan  5 14:06:53 2022
| 0000000019113| 0000000019119| 0000000000576| Wed Jan  5 14:06:53 2022
| 0000000018974| -000000000001| 0000000000460| Wed Jan  5 14:06:53 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000019473| 0000000019007| 0000000000369| Wed Jan  5 14:06:53 2022
| 0000000019088| 0000000019149| 0000000000882| Wed Jan  5 14:06:53 2022
| 0000000019115| 0000000019015| 0000000000503| Wed Jan  5 14:06:53 2022
| 0000000019397| 0000000019257| 0000000000549| Wed Jan  5 14:06:53 2022
| 0000000019244| 0000000019083| 0000000000840| Wed Jan  5 14:06:53 2022
| 0000000019318| 0000000019395| 0000000000314| Wed Jan  5 14:06:53 2022
| 0000000019426| 0000000019187| 0000000000774| Wed Jan  5 14:06:53 2022
| 0000000019111| 0000000019000| 0000000000866| Wed Jan  5 14:06:53 2022
| 0000000019205| 0000000019070| 0000000000018| Wed Jan  5 14:06:53 2022
| 0000000018978| -000000000001| 0000000000563| Wed Jan  5 14:06:53 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000019099| 0000000019005| 0000000000821| Wed Jan  5 14:06:53 2022
| 0000000019410| 0000000019175| 0000000000028| Wed Jan  5 14:06:53 2022
| 0000000019398| 0000000019159| 0000000000792| Wed Jan  5 14:06:53 2022
