| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046196| 0000000046189| 0000000000117| Tue Jan  4 23:14:12 2022
| 0000000046190| 0000000046186| 0000000000259| Tue Jan  4 23:14:13 2022
| 0000000046191| 0000000046188| 0000000000230| Tue Jan  4 23:14:13 2022
| 0000000046190| 0000000046200| 0000000000261| Tue Jan  4 23:14:13 2022
| 0000000046191| 0000000046198| 0000000000061| Tue Jan  4 23:14:13 2022
| 0000000046187| 0000000046192| 0000000000134| Tue Jan  4 23:14:13 2022
| 0000000046182| 0000000046190| 0000000000134| Tue Jan  4 23:14:13 2022
| 0000000046180| -000000000001| 0000000000244| Tue Jan  4 23:14:13 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046201| 0000000046182| 0000000000315| Tue Jan  4 23:14:12 2022
| 0000000046188| 0000000046186| 0000000000710| Tue Jan  4 23:14:12 2022
| 0000000046182| 0000000046183| 0000000000054| Tue Jan  4 23:14:13 2022
| 0000000046197| 0000000046196| 0000000000318| Tue Jan  4 23:14:13 2022
| 0000000046199| 0000000046185| 0000000000307| Tue Jan  4 23:14:13 2022
| 0000000046194| 0000000046189| 0000000000066| Tue Jan  4 23:14:13 2022
| 0000000046201| 0000000046188| 0000000000294| Tue Jan  4 23:14:13 2022
| 0000000046190| 0000000046201| 0000000000206| Tue Jan  4 23:14:13 2022
| 0000000046200| 0000000046191| 0000000000001| Tue Jan  4 23:14:13 2022
| 0000000046181| -000000000001| 0000000000249| Tue Jan  4 23:14:13 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046192| 0000000046187| 0000000000140| Tue Jan  4 23:14:13 2022
| 0000000046188| 0000000046197| 0000000000045| Tue Jan  4 23:14:13 2022
| 0000000046189| 0000000046195| 0000000000210| Tue Jan  4 23:14:13 2022
| 0000000046187| 0000000046182| 0000000000108| Tue Jan  4 23:14:13 2022
| 0000000046190| 0000000046199| 0000000000050| Tue Jan  4 23:14:13 2022
| 0000000046193| 0000000046198| 0000000000634| Tue Jan  4 23:14:13 2022
| 0000000046188| 0000000046185| 0000000000102| Tue Jan  4 23:14:13 2022
| 0000000046192| 0000000046196| 0000000000036| Tue Jan  4 23:14:13 2022
| 0000000046190| 0000000046188| 0000000000290| Tue Jan  4 23:14:13 2022
| 0000000046173| -000000000001| 0000000000175| Tue Jan  4 23:14:13 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046201| 0000000046200| 0000000000540| Tue Jan  4 23:14:13 2022
| 0000000046182| 0000000046183| 0000000000014| Tue Jan  4 23:14:13 2022
| 0000000046191| 0000000046184| 0000000000053| Tue Jan  4 23:14:13 2022
| 0000000046200| 0000000046192| 0000000000223| Tue Jan  4 23:14:13 2022
| 0000000046197| 0000000046184| 0000000000015| Tue Jan  4 23:14:13 2022
| 0000000046189| 0000000046188| 0000000000272| Tue Jan  4 23:14:13 2022
| 0000000046194| 0000000046193| 0000000001040| Tue Jan  4 23:14:13 2022
| 0000000046197| 0000000046184| 0000000000003| Tue Jan  4 23:14:13 2022
| 0000000046201| 0000000046200| 0000000000046| Tue Jan  4 23:14:13 2022
| 0000000046176| -000000000001| 0000000000242| Tue Jan  4 23:14:13 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046185| 0000000046195| 0000000000375| Tue Jan  4 23:14:13 2022
| 0000000046185| 0000000046200| 0000000000429| Tue Jan  4 23:14:13 2022
| 0000000046192| 0000000046187| 0000000000008| Tue Jan  4 23:14:13 2022
| 0000000046184| 0000000046196| 0000000000342| Tue Jan  4 23:14:13 2022
| 0000000046184| 0000000046195| 0000000000018| Tue Jan  4 23:14:13 2022
| 0000000046183| 0000000046197| 0000000000197| Tue Jan  4 23:14:13 2022
| 0000000046187| 0000000046191| 0000000000228| Tue Jan  4 23:14:13 2022
| 0000000046182| 0000000046198| 0000000000096| Tue Jan  4 23:14:13 2022
| 0000000046196| 0000000046199| 0000000000149| Tue Jan  4 23:14:13 2022
| 0000000046172| -000000000001| 0000000000200| Tue Jan  4 23:14:13 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046197| 0000000046190| 0000000000108| Tue Jan  4 23:14:13 2022
| 0000000046182| 0000000046193| 0000000000591| Tue Jan  4 23:14:13 2022
| 0000000046197| 0000000046190| 0000000000585| Tue Jan  4 23:14:13 2022
| 0000000046197| 0000000046185| 0000000000499| Tue Jan  4 23:14:13 2022
| 0000000046195| 0000000046194| 0000000000145| Tue Jan  4 23:14:13 2022
| 0000000046182| 0000000046198| 0000000000296| Tue Jan  4 23:14:13 2022
| 0000000046187| 0000000046200| 0000000000232| Tue Jan  4 23:14:13 2022
| 0000000046197| 0000000046196| 0000000000060| Tue Jan  4 23:14:13 2022
| 0000000046185| 0000000046186| 0000000000052| Tue Jan  4 23:14:13 2022
| 0000000046179| -000000000001| 0000000000279| Tue Jan  4 23:14:13 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046195| 0000000046188| 0000000000158| Tue Jan  4 23:14:13 2022
| 0000000046195| 0000000046191| 0000000000012| Tue Jan  4 23:14:13 2022
| 0000000046198| 0000000046197| 0000000000098| Tue Jan  4 23:14:13 2022
