| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023213| 0000000023188| 0000000000439| Mon Jan 24 19:04:56 2022
| 0000000023251| 0000000023241| 0000000000483| Mon Jan 24 19:04:56 2022
| 0000000023249| 0000000023187| 0000000000221| Mon Jan 24 19:04:56 2022
| 0000000023158| -000000000001| 0000000000014| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023220| 0000000023204| 0000000000495| Mon Jan 24 19:04:56 2022
| 0000000023216| 0000000023232| 0000000000369| Mon Jan 24 19:04:56 2022
| 0000000023193| 0000000023261| 0000000000337| Mon Jan 24 19:04:56 2022
| 0000000023248| 0000000023257| 0000000000316| Mon Jan 24 19:04:56 2022
| 0000000023153| -000000000001| 0000000000013| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023181| 0000000023254| 0000000000340| Mon Jan 24 19:04:56 2022
| 0000000023184| 0000000023226| 0000000000318| Mon Jan 24 19:04:56 2022
| 0000000023181| 0000000023234| 0000000000414| Mon Jan 24 19:04:56 2022
| 0000000023194| 0000000023237| 0000000000288| Mon Jan 24 19:04:56 2022
| 0000000023154| -000000000001| 0000000000012| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023221| 0000000023196| 0000000000279| Mon Jan 24 19:04:56 2022
| 0000000023229| 0000000023197| 0000000000235| Mon Jan 24 19:04:56 2022
| 0000000023220| 0000000023168| 0000000000333| Mon Jan 24 19:04:56 2022
| 0000000023201| 0000000023169| 0000000000474| Mon Jan 24 19:04:56 2022
| 0000000023161| -000000000001| 0000000000011| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023260| 0000000023256| 0000000000356| Mon Jan 24 19:04:56 2022
| 0000000023199| 0000000023238| 0000000000030| Mon Jan 24 19:04:56 2022
| 0000000023205| 0000000023236| 0000000000283| Mon Jan 24 19:04:56 2022
| 0000000023251| 0000000023221| 0000000000412| Mon Jan 24 19:04:56 2022
| 0000000023160| -000000000001| 0000000000010| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023234| 0000000023233| 0000000000428| Mon Jan 24 19:04:56 2022
| 0000000023241| 0000000023176| 0000000000471| Mon Jan 24 19:04:56 2022
| 0000000023209| 0000000023185| 0000000000015| Mon Jan 24 19:04:56 2022
| 0000000023257| 0000000023172| 0000000000434| Mon Jan 24 19:04:56 2022
| 0000000023162| -000000000001| 0000000000013| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023229| 0000000023209| 0000000000412| Mon Jan 24 19:04:56 2022
| 0000000023175| 0000000023262| 0000000000359| Mon Jan 24 19:04:56 2022
| 0000000023235| 0000000023165| 0000000000066| Mon Jan 24 19:04:56 2022
| 0000000023186| 0000000023240| 0000000000062| Mon Jan 24 19:04:56 2022
| 0000000023157| -000000000001| 0000000000009| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023166| 0000000023206| 0000000000490| Mon Jan 24 19:04:56 2022
| 0000000023187| 0000000023223| 0000000000215| Mon Jan 24 19:04:56 2022
| 0000000023246| 0000000023179| 0000000000103| Mon Jan 24 19:04:56 2022
