| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000006882| 0000000006896| 0000000001254| Thu Jan  6 16:46:27 2022
| 0000000006898| 0000000006895| 0000000001303| Thu Jan  6 16:46:27 2022
| 0000000006898| 0000000006896| 0000000001024| Thu Jan  6 16:46:27 2022
| 0000000006895| 0000000006901| 0000000003777| Thu Jan  6 16:46:27 2022
| 0000000006889| 0000000006886| 0000000001248| Thu Jan  6 16:46:27 2022
| 0000000006887| 0000000006900| 0000000000830| Thu Jan  6 16:46:27 2022
| 0000000006887| 0000000006901| 0000000000400| Thu Jan  6 16:46:27 2022
| 0000000006874| -000000000001| 0000000000167| Thu Jan  6 16:46:27 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000006885| 0000000006889| 0000000004224| Thu Jan  6 16:46:27 2022
| 0000000006888| 0000000006889| 0000000001727| Thu Jan  6 16:46:27 2022
| 0000000006895| 0000000006890| 0000000002016| Thu Jan  6 16:46:27 2022
| 0000000006882| 0000000006901| 0000000003427| Thu Jan  6 16:46:27 2022
| 0000000006890| 0000000006883| 0000000002399| Thu Jan  6 16:46:27 2022
| 0000000006891| 0000000006900| 0000000002832| Thu Jan  6 16:46:27 2022
| 0000000006893| 0000000006885| 0000000000234| Thu Jan  6 16:46:27 2022
| 0000000006885| 0000000006899| 0000000003014| Thu Jan  6 16:46:27 2022
| 0000000006894| 0000000006891| 0000000000699| Thu Jan  6 16:46:27 2022
| 0000000006880| -000000000001| 0000000000204| Thu Jan  6 16:46:27 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000006889| 0000000006883| 0000000000947| Thu Jan  6 16:46:27 2022
| 0000000006891| 0000000006896| 0000000003814| Thu Jan  6 16:46:27 2022
| 0000000006899| 0000000006891| 0000000003261| Thu Jan  6 16:46:27 2022
| 0000000006900| 0000000006897| 0000000002487| Thu Jan  6 16:46:27 2022
| 0000000006883| 0000000006887| 0000000002302| Thu Jan  6 16:46:27 2022
| 0000000006887| 0000000006900| 0000000000614| Thu Jan  6 16:46:27 2022
| 0000000006899| 0000000006884| 0000000001757| Thu Jan  6 16:46:27 2022
| 0000000006897| 0000000006882| 0000000002014| Thu Jan  6 16:46:27 2022
| 0000000006892| 0000000006889| 0000000000932| Thu Jan  6 16:46:27 2022
| 0000000006872| -000000000001| 0000000000179| Thu Jan  6 16:46:27 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000006886| 0000000006898| 0000000002501| Thu Jan  6 16:46:27 2022
| 0000000006898| 0000000006895| 0000000003249| Thu Jan  6 16:46:27 2022
| 0000000006889| 0000000006884| 0000000002803| Thu Jan  6 16:46:27 2022
| 0000000006887| 0000000006894| 0000000001058| Thu Jan  6 16:46:27 2022
| 0000000006883| 0000000006896| 0000000003164| Thu Jan  6 16:46:27 2022
| 0000000006887| 0000000006885| 0000000002926| Thu Jan  6 16:46:27 2022
| 0000000006892| 0000000006883| 0000000001230| Thu Jan  6 16:46:27 2022
| 0000000006898| 0000000006886| 0000000000223| Thu Jan  6 16:46:27 2022
| 0000000006884| 0000000006890| 0000000000384| Thu Jan  6 16:46:27 2022
| 0000000006876| -000000000001| 0000000000172| Thu Jan  6 16:46:27 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000006889| 0000000006893| 0000000000813| Thu Jan  6 16:46:27 2022
| 0000000006893| 0000000006888| 0000000002190| Thu Jan  6 16:46:27 2022
| 0000000006887| 0000000006891| 0000000000672| Thu Jan  6 16:46:28 2022
